syndra_id,id_type,id_value,source,license
SYN0000089,BRD,BRD-K25690923,lincs_2020,custom_non_commercial
SYN0000090,BRD,BRD-K51799616,lincs_2020,custom_non_commercial
SYN0000091,BRD,BRD-K97118047,lincs_2020,custom_non_commercial
SYN0000092,BRD,BRD-K57631554,lincs_2020,custom_non_commercial
SYN0000093,BRD,BRD-A00150179,lincs_2020,custom_non_commercial
SYN0000094,BRD,BRD-A61866602,lincs_2020,custom_non_commercial
SYN0000095,BRD,BRD-A68318914,lincs_2020,custom_non_commercial
SYN0000096,BRD,BRD-K08219523,lincs_2020,custom_non_commercial
SYN0000097,BRD,BRD-K60287130,lincs_2020,custom_non_commercial
SYN0000098,BRD,BRD-K00656370,lincs_2020,custom_non_commercial
SYN0000099,BRD,BRD-K62929068,lincs_2020,custom_non_commercial
SYN0000100,BRD,BRD-K34663752,lincs_2020,custom_non_commercial
SYN0000101,BRD,BRD-A65327625,lincs_2020,custom_non_commercial
SYN0000102,BRD,BRD-K49236613,lincs_2020,custom_non_commercial
SYN0000103,BRD,BRD-K08227907,lincs_2020,custom_non_commercial
SYN0000104,BRD,BRD-A64489120,lincs_2020,custom_non_commercial
SYN0000105,BRD,BRD-K84214706,lincs_2020,custom_non_commercial
SYN0000106,BRD,BRD-A01295252,lincs_2020,custom_non_commercial
SYN0000107,BRD,BRD-K04430056,lincs_2020,custom_non_commercial
SYN0000108,BRD,BRD-K50384076,lincs_2020,custom_non_commercial
SYN0000109,BRD,BRD-A01317026,lincs_2020,custom_non_commercial
SYN0000110,BRD,BRD-A48015106,lincs_2020,custom_non_commercial
SYN0000111,BRD,BRD-K14696368,lincs_2020,custom_non_commercial
SYN0000112,BRD,BRD-K78787248,lincs_2020,custom_non_commercial
SYN0000113,BRD,BRD-K16133773,lincs_2020,custom_non_commercial
SYN0000114,BRD,BRD-K24048528,lincs_2020,custom_non_commercial
SYN0000115,BRD,BRD-A49544621,lincs_2020,custom_non_commercial
SYN0000116,BRD,BRD-K35923252,lincs_2020,custom_non_commercial
SYN0000117,BRD,BRD-K68633617,lincs_2020,custom_non_commercial
SYN0000118,BRD,BRD-K74112339,lincs_2020,custom_non_commercial
SYN0000119,BRD,BRD-K79437791,lincs_2020,custom_non_commercial
SYN0000120,BRD,BRD-K75181824,lincs_2020,custom_non_commercial
SYN0000121,BRD,BRD-K64729807,lincs_2020,custom_non_commercial
SYN0028439,BRD,BRD-U01690642,lincs_2020,custom_non_commercial
SYN0000122,BRD,BRD-K27406233,lincs_2020,custom_non_commercial
SYN0000123,BRD,BRD-K59058747,lincs_2020,custom_non_commercial
SYN0000124,BRD,BRD-K67174965,lincs_2020,custom_non_commercial
SYN0000125,BRD,BRD-K85767870,lincs_2020,custom_non_commercial
SYN0000126,BRD,BRD-K04887706,lincs_2020,custom_non_commercial
SYN0000127,BRD,BRD-K28296557,lincs_2020,custom_non_commercial
SYN0000128,BRD,BRD-K93080877,lincs_2020,custom_non_commercial
SYN0000129,BRD,BRD-K33396764,lincs_2020,custom_non_commercial
SYN0000130,BRD,BRD-K15318383,lincs_2020,custom_non_commercial
SYN0000131,BRD,BRD-A09062839,lincs_2020,custom_non_commercial
SYN0000132,BRD,BRD-A63236097,lincs_2020,custom_non_commercial
SYN0000133,BRD,BRD-A95513702,lincs_2020,custom_non_commercial
SYN0000134,BRD,BRD-K92490248,lincs_2020,custom_non_commercial
SYN0000135,BRD,BRD-K20001883,lincs_2020,custom_non_commercial
SYN0000136,BRD,BRD-A72322024,lincs_2020,custom_non_commercial
SYN0000137,BRD,BRD-K74733595,lincs_2020,custom_non_commercial
SYN0000138,BRD,BRD-K15164005,lincs_2020,custom_non_commercial
SYN0000139,BRD,BRD-K03070961,lincs_2020,custom_non_commercial
SYN0000140,BRD,BRD-K07303502,lincs_2020,custom_non_commercial
SYN0000141,BRD,BRD-K63792901,lincs_2020,custom_non_commercial
SYN0000142,BRD,BRD-K23922020,lincs_2020,custom_non_commercial
SYN0000143,BRD,BRD-K73395020,lincs_2020,custom_non_commercial
