parent_inchikey,n_brd_ids,brd_ids
JIIQCTZKSPLLJR,8,BRD-K18747403; BRD-K19868817; BRD-K33390612; BRD-K36787562; BRD-K38509760; BRD-K49330073; BRD-K63628486; BRD-K94014921
LJZGTTWSAOWWCB,8,BRD-K41120089; BRD-K51257364; BRD-K53407305; BRD-K64285892; BRD-K68782403; BRD-K75413841; BRD-K86755654; BRD-K95487462
JKLIXGQQXOXZKK,8,BRD-K04745699; BRD-K13757679; BRD-K23050218; BRD-K24855340; BRD-K47228813; BRD-K49283955; BRD-K63933178; BRD-K65482654
JKKDNXFJBMMQFP,8,BRD-K10270435; BRD-K19466708; BRD-K22173650; BRD-K23911230; BRD-K33711030; BRD-K40892926; BRD-K41096823; BRD-K88045846
LHGLZDQGJZRLBC,8,BRD-K16705018; BRD-K17713237; BRD-K44953633; BRD-K73171326; BRD-K77953075; BRD-K84625203; BRD-K93763244; BRD-K98376600
JIBJCGLYXNSLDN,8,BRD-K15793745; BRD-K23680395; BRD-K38232832; BRD-K39447340; BRD-K56865671; BRD-K57754556; BRD-K70003473; BRD-K72780683
YWCZLJIWAJYPHK,8,BRD-K12986105; BRD-K17602350; BRD-K35671498; BRD-K51054234; BRD-K67830713; BRD-K78944047; BRD-K89394474; BRD-K99516890
RULZJLKRRRCHIA,8,BRD-K11667974; BRD-K21139275; BRD-K38678832; BRD-K40597283; BRD-K56398628; BRD-K68380056; BRD-K79255795; BRD-K98742259
FNIHZEFWPVWWQI,8,BRD-K05570331; BRD-K14990409; BRD-K29799191; BRD-K48816779; BRD-K73643601; BRD-K77069371; BRD-K79145797; BRD-K87990527
RVCZJXOSFIZTQF,8,BRD-K13087600; BRD-K55465787; BRD-K64317863; BRD-K67261586; BRD-K70148257; BRD-K88069191; BRD-K88856685; BRD-K90060707
RUOZLMFIBHXSJW,8,BRD-K11224669; BRD-K12182524; BRD-K17773477; BRD-K36490574; BRD-K46555627; BRD-K47786739; BRD-K63368502; BRD-K69347381
FLBHXJCYMARYBO,8,BRD-K01853388; BRD-K12836153; BRD-K14570970; BRD-K25050358; BRD-K80602847; BRD-K89923892; BRD-K90965240; BRD-K94573433
FLFHXFOLABGIIH,8,BRD-K00463020; BRD-K24975719; BRD-K27224038; BRD-K32648402; BRD-K34787855; BRD-K47123716; BRD-K72913973; BRD-K87721831
LDGCPXKMKGRZSF,8,BRD-K06790322; BRD-K09547783; BRD-K25970159; BRD-K44755254; BRD-K53046450; BRD-K54737430; BRD-K59519347; BRD-K59941784
DUQQDWAUZUWJHX,8,BRD-K13428252; BRD-K18683499; BRD-K37752193; BRD-K54431311; BRD-K60809157; BRD-K72915790; BRD-K80726792; BRD-K88391199
DUFLBGPFMCCCEO,8,BRD-K10006632; BRD-K34607017; BRD-K34834946; BRD-K40230514; BRD-K48918097; BRD-K57691575; BRD-K61122325; BRD-K93157782
DVRCOHXMQROJRA,8,BRD-K10638173; BRD-K34761198; BRD-K44177046; BRD-K46746774; BRD-K73475697; BRD-K74789550; BRD-K95768123; BRD-K98637033
SWAMQWMVKYBBNH,8,BRD-K06905668; BRD-K14270906; BRD-K14345135; BRD-K14600622; BRD-K24139908; BRD-K30882656; BRD-K31746020; BRD-K84293326
SVKJOHOIDWZOJW,8,BRD-K22385434; BRD-K26214776; BRD-K39245533; BRD-K44407752; BRD-K55282910; BRD-K78603235; BRD-K78657294; BRD-K80694691
SVPAUNQWUYQQNC,8,BRD-K22693056; BRD-K23434564; BRD-K33748896; BRD-K35472285; BRD-K55510118; BRD-K66654463; BRD-K67898193; BRD-K86711517
AHLJWBISIVXZIU,8,BRD-K07489121; BRD-K16948767; BRD-K38588505; BRD-K67891857; BRD-K69429207; BRD-K73911580; BRD-K78832647; BRD-K99808647
JVFXTLNLNPGAHH,8,BRD-K01705159; BRD-K07600484; BRD-K18978449; BRD-K24930745; BRD-K31852848; BRD-K54467766; BRD-K59130962; BRD-K84974041
KKGFASYBCNAVFA,8,BRD-K14396623; BRD-K29285912; BRD-K33384411; BRD-K45740917; BRD-K45843042; BRD-K59490275; BRD-K59501784; BRD-K87213231
ZLSVBQPGKZIPOU,8,BRD-K07912534; BRD-K10545066; BRD-K42054363; BRD-K45630356; BRD-K47063692; BRD-K50580743; BRD-K83872468; BRD-K87438596
ZLBUSWVWPMDVDO,8,BRD-K03050455; BRD-K24750847; BRD-K26006030; BRD-K29458822; BRD-K42092012; BRD-K44978017; BRD-K47728674; BRD-K76132378
KGPKEHLIXQTDQP,8,BRD-K08828851; BRD-K08942755; BRD-K12913157; BRD-K15502712; BRD-K19554975; BRD-K19724753; BRD-K55522699; BRD-K67727634
JWWKORKURDWWBL,8,BRD-K10954923; BRD-K12034365; BRD-K19651468; BRD-K38810814; BRD-K38997615; BRD-K53636670; BRD-K92022308; BRD-K98711518
KHPOILJWMXIQKX,8,BRD-K10987837; BRD-K11013450; BRD-K14399036; BRD-K40251180; BRD-K66852478; BRD-K71486304; BRD-K84932026; BRD-K93127164
JPYQBBUSLGAIKR,8,BRD-K21253219; BRD-K28912195; BRD-K35625946; BRD-K36531580; BRD-K47283018; BRD-K50941255; BRD-K53308623; BRD-K70978931
AIVZVDBTBOXKNA,8,BRD-K04611090; BRD-K09253654; BRD-K39449072; BRD-K42435091; BRD-K48222931; BRD-K60644933; BRD-K71283713; BRD-K74504761
AICRRUIGWBNRBB,8,BRD-K01373529; BRD-K29635534; BRD-K32665240; BRD-K39906469; BRD-K69310574; BRD-K71520313; BRD-K85667213; BRD-K88762178
JVSILEAOSOYGNI,8,BRD-K17771527; BRD-K22353999; BRD-K40960913; BRD-K47716724; BRD-K59308946; BRD-K67035256; BRD-K87744519; BRD-K91104058
JVYCUASVIANWPE,8,BRD-K09929530; BRD-K19303070; BRD-K36870972; BRD-K39728090; BRD-K47214596; BRD-K56189188; BRD-K71779338; BRD-K73873786
ALBVOUUIQWHTKA,8,BRD-K14844214; BRD-K20875709; BRD-K35810638; BRD-K48918933; BRD-K60997369; BRD-K76892938; BRD-K96198015; BRD-K99514625
ZMBSZSRZHSICHB,8,BRD-K33518436; BRD-K46718584; BRD-K49345388; BRD-K63539924; BRD-K67936348; BRD-K81859633; BRD-K87062384; BRD-K91898214
ZNXYRHHWSDGXHP,8,BRD-K01251033; BRD-K08614872; BRD-K18189580; BRD-K19601332; BRD-K46211110; BRD-K60729758; BRD-K81373254; BRD-K96807219
ZRJLNIRQYSTGIF,8,BRD-K01619611; BRD-K26759399; BRD-K33148516; BRD-K53978628; BRD-K60245465; BRD-K61965677; BRD-K77987559; BRD-K93549834
ZTOSEQHRKGCZOZ,8,BRD-K09069264; BRD-K27772696; BRD-K53193506; BRD-K56616847; BRD-K67270926; BRD-K69158405; BRD-K77787814; BRD-K85807048
ZSUKBHXIWPHONU,8,BRD-K25899698; BRD-K27181648; BRD-K40161407; BRD-K42245756; BRD-K52183630; BRD-K54288605; BRD-K65526065; BRD-K74790646
AEHXNEHGWHBDEN,8,BRD-K00196194; BRD-K01006500; BRD-K17157530; BRD-K34766381; BRD-K36424250; BRD-K46959535; BRD-K63903580; BRD-K71904020
ADNFOFPYARHFIV,8,BRD-K00765599; BRD-K10580455; BRD-K47854067; BRD-K51017127; BRD-K63579322; BRD-K65829768; BRD-K69238239; BRD-K71274071
ZNMNRMGCWQWZTD,8,BRD-K05645732; BRD-K08926145; BRD-K40985138; BRD-K45919129; BRD-K61388502; BRD-K62456065; BRD-K73127443; BRD-K76285876
KLTTUROVXNDFDZ,8,BRD-K04006812; BRD-K23453536; BRD-K44480322; BRD-K50435683; BRD-K50943704; BRD-K82325043; BRD-K82815491; BRD-K92269212
KLEFMXRWIUTPPC,8,BRD-K09557852; BRD-K15104539; BRD-K24572125; BRD-K25765811; BRD-K39367499; BRD-K42752188; BRD-K80998388; BRD-K86981020
AJAMEWYBAUQISK,8,BRD-K00865615; BRD-K27661070; BRD-K43499440; BRD-K49830011; BRD-K61416896; BRD-K63091163; BRD-K80362711; BRD-K87779720
ZWJVDCAUIXXXGX,8,BRD-K15318079; BRD-K40263565; BRD-K43650237; BRD-K76269493; BRD-K84856528; BRD-K91359405; BRD-K93691156; BRD-K98834499
ZWIPCDYWVZDKTM,8,BRD-K01910220; BRD-K16502264; BRD-K33891642; BRD-K34264024; BRD-K44416503; BRD-K63957636; BRD-K93900188; BRD-K96209756
AANFNNZNKVIOFO,8,BRD-K01351858; BRD-K04650671; BRD-K17790291; BRD-K18101567; BRD-K32913479; BRD-K32916996; BRD-K40228218; BRD-K91423144
ACSVFUACEODJDN,8,BRD-K02920722; BRD-K24861700; BRD-K28800414; BRD-K46532897; BRD-K64366758; BRD-K67798612; BRD-K82092559; BRD-K87113270
WCNQFBRPFNRKRV,8,BRD-K05722694; BRD-K34238482; BRD-K43266948; BRD-K57759735; BRD-K58991610; BRD-K65824347; BRD-K73701691; BRD-K99452176
JXWMWOXWMMUZLT,8,BRD-K00314651; BRD-K21528100; BRD-K43151809; BRD-K65437607; BRD-K69886508; BRD-K73044562; BRD-K89715659; BRD-K97748079
ZWMNFEZEGHFZOH,8,BRD-K26857129; BRD-K39036510; BRD-K59550348; BRD-K69367836; BRD-K79157597; BRD-K81403739; BRD-K91674938; BRD-K94116832
ZWOJFBYNCHARNU,8,BRD-K00586442; BRD-K32722078; BRD-K47584662; BRD-K64073423; BRD-K64182862; BRD-K67602895; BRD-K87044635; BRD-K87193132
KCRDNBZRFZAOKR,8,BRD-K22443456; BRD-K35336753; BRD-K42108985; BRD-K44537081; BRD-K54484272; BRD-K89000000; BRD-K93516545; BRD-K95350313
KAJKYFHMOFZFFV,8,BRD-K20103689; BRD-K30857143; BRD-K36333904; BRD-K39227212; BRD-K42279779; BRD-K56945633; BRD-K71839385; BRD-K80649837
JZVGIVMTJSWJDH,8,BRD-K06559861; BRD-K10768305; BRD-K18713590; BRD-K23960714; BRD-K50641952; BRD-K56417931; BRD-K62657501; BRD-K86154664
JZWHDUCFLDKMHA,8,BRD-K00248931; BRD-K30794866; BRD-K32755775; BRD-K33994902; BRD-K43225681; BRD-K88058683; BRD-K88282487; BRD-K98123586
JYOVEVCXPRGJRX,8,BRD-K05970499; BRD-K08212968; BRD-K31866446; BRD-K48005659; BRD-K49995660; BRD-K68246261; BRD-K75090853; BRD-K86466947
JYSCHNUNWNBHFC,8,BRD-K07275374; BRD-K07438289; BRD-K07820537; BRD-K09597785; BRD-K37203945; BRD-K65809558; BRD-K71328603; BRD-K75557837
ZRCRXWGBTMXJDJ,8,BRD-K09975619; BRD-K19264579; BRD-K32402344; BRD-K34590335; BRD-K45734531; BRD-K52423731; BRD-K55538850; BRD-K88504000
DXZPRIFIKXELJX,8,BRD-K00562490; BRD-K12115687; BRD-K40452322; BRD-K47237224; BRD-K58066822; BRD-K70039231; BRD-K88421348; BRD-K90744477
JZXYXAGICCVVHG,8,BRD-K03716420; BRD-K12241427; BRD-K19036853; BRD-K27175304; BRD-K33328711; BRD-K45924279; BRD-K55641492; BRD-K92659956
KDWFAOIYLGHTDK,8,BRD-K01734019; BRD-K16496880; BRD-K17063694; BRD-K20560768; BRD-K22478004; BRD-K28269391; BRD-K41033343; BRD-K42455150
KDYLLPKCSGYBGM,8,BRD-K06992369; BRD-K21217422; BRD-K51475868; BRD-K63900355; BRD-K64751731; BRD-K67454499; BRD-K92439079; BRD-K92904177
KDJJTCSMQRMMRL,8,BRD-K13927197; BRD-K26603007; BRD-K31250130; BRD-K44152881; BRD-K77291765; BRD-K84235037; BRD-K85051145; BRD-K92356505
ZQLCRBSTGDSWQO,8,BRD-K00789767; BRD-K04667232; BRD-K04706894; BRD-K07712233; BRD-K14853757; BRD-K16689648; BRD-K38189984; BRD-K83548510
AGYKQGZRDSIEQP,8,BRD-K03262163; BRD-K03848296; BRD-K07196884; BRD-K49467822; BRD-K54179521; BRD-K62288678; BRD-K79807180; BRD-K90934902
ZSBYESKXZOGBOW,8,BRD-K27817736; BRD-K30781800; BRD-K31108633; BRD-K42959654; BRD-K45440108; BRD-K80940272; BRD-K84787606; BRD-K98320434
JYNGQINEBKOLSY,8,BRD-K04922291; BRD-K06877934; BRD-K13141487; BRD-K67480908; BRD-K73096266; BRD-K80394569; BRD-K86985145; BRD-K96752633
KBNILDCQMNAARZ,8,BRD-K01595245; BRD-K09729851; BRD-K14374193; BRD-K21458727; BRD-K63077891; BRD-K77845911; BRD-K84128874; BRD-K91076377
KAWIPUFCWVTOPB,8,BRD-K18483660; BRD-K21136828; BRD-K27425684; BRD-K73143149; BRD-K80236176; BRD-K87920770; BRD-K98245706; BRD-K98370047
DYHTZISNAWRTSH,8,BRD-K07481069; BRD-K24638771; BRD-K38665228; BRD-K67407970; BRD-K69503483; BRD-K79861274; BRD-K98611274; BRD-K98833727
DXVJXLONGZUJOS,8,BRD-K05713002; BRD-K07481948; BRD-K28437309; BRD-K30214283; BRD-K46597784; BRD-K77328005; BRD-K82005490; BRD-K95275773
SSDPHNXAXFTDFA,8,BRD-K07734969; BRD-K13217265; BRD-K40606280; BRD-K43680293; BRD-K61373678; BRD-K65494396; BRD-K68937023; BRD-K92327934
DXWDIHWCVARGHC,8,BRD-K02788568; BRD-K15236933; BRD-K21671578; BRD-K42960858; BRD-K70537701; BRD-K79627231; BRD-K86070914; BRD-K91354770
DXYWKCBATINIRK,8,BRD-K02301426; BRD-K05118964; BRD-K11389666; BRD-K15499806; BRD-K18865369; BRD-K32280984; BRD-K41172555; BRD-K41412255
ZQKSOPNYGIRHEN,8,BRD-K01152687; BRD-K15047839; BRD-K32439647; BRD-K39176069; BRD-K39677043; BRD-K62597218; BRD-K77354700; BRD-K89377615
JSQMQZOUAVKGAV,8,BRD-K02882069; BRD-K06884108; BRD-K29060081; BRD-K31439714; BRD-K42509645; BRD-K46450665; BRD-K58404149; BRD-K97615779
JSQZMBUYZHIIMM,8,BRD-K18639483; BRD-K24717178; BRD-K25159388; BRD-K52662613; BRD-K60994920; BRD-K63072081; BRD-K64873832; BRD-K76369294
JSRBXIHVEPNVJQ,8,BRD-K05156496; BRD-K05214965; BRD-K14496573; BRD-K38467418; BRD-K38557047; BRD-K49473389; BRD-K59291587; BRD-K97359152
KOLIFEMIJDNSLG,8,BRD-K03981069; BRD-K14262667; BRD-K32015301; BRD-K38024133; BRD-K42438139; BRD-K73804145; BRD-K83790954; BRD-K93445052
KRCYYDXJFSFYMC,8,BRD-K01140360; BRD-K18067885; BRD-K36928611; BRD-K44261129; BRD-K62242359; BRD-K64508546; BRD-K71742078; BRD-K95241801
KQYPWNZZGCEQSB,8,BRD-K07384081; BRD-K13803936; BRD-K42061172; BRD-K74506898; BRD-K78124620; BRD-K79631534; BRD-K82930531; BRD-K97368902
ZGRBCZVMEMXSST,8,BRD-K05057860; BRD-K07525144; BRD-K13526564; BRD-K31666794; BRD-K44664883; BRD-K47285393; BRD-K51697315; BRD-K95192796
ZGEAGHWTKPKCOK,8,BRD-K01248935; BRD-K41667061; BRD-K45475981; BRD-K71674109; BRD-K75576199; BRD-K89076662; BRD-K89627562; BRD-K89735991
ZGJMWZDWXNCIBA,8,BRD-K12019169; BRD-K51725102; BRD-K56004278; BRD-K63938446; BRD-K80550858; BRD-K86107831; BRD-K87851508; BRD-K89679058
AMJJCKBOWHOXQT,8,BRD-K15507118; BRD-K27449529; BRD-K45949967; BRD-K46362951; BRD-K72516992; BRD-K76925500; BRD-K88672507; BRD-K97233756
ALHQUDNRSCILRO,8,BRD-K02544589; BRD-K05207940; BRD-K19529619; BRD-K22123421; BRD-K24242444; BRD-K39007840; BRD-K71249580; BRD-K84098240
JVNQANUBSNFBGV,8,BRD-K11231529; BRD-K12016928; BRD-K14850613; BRD-K37929770; BRD-K44589075; BRD-K54676281; BRD-K59099936; BRD-K74843557
JVEUQFVGQSVVLY,8,BRD-K08533345; BRD-K32145037; BRD-K44401972; BRD-K45185240; BRD-K63996931; BRD-K68424387; BRD-K89476396; BRD-K91593159
JVQYZDSRPVTFBX,8,BRD-K32568627; BRD-K34206396; BRD-K34412705; BRD-K53501402; BRD-K65093687; BRD-K94127894; BRD-K96041033; BRD-K99756483
JTIOTWTUDVMQPE,8,BRD-K22451824; BRD-K24199200; BRD-K34404012; BRD-K40383467; BRD-K63811860; BRD-K76688397; BRD-K90089455; BRD-K92493271
JUMQDWHPHZAWJD,8,BRD-K40679791; BRD-K64349988; BRD-K65828139; BRD-K68605096; BRD-K85275903; BRD-K88988134; BRD-K94514173; BRD-K98856654
KQJSIDVYPJWNIL,8,BRD-K23342427; BRD-K24499562; BRD-K30292003; BRD-K46298074; BRD-K72435943; BRD-K84423439; BRD-K84478344; BRD-K96979108
KPSAIAGNOOFEEI,8,BRD-K19190776; BRD-K26041656; BRD-K39988373; BRD-K53181055; BRD-K55313038; BRD-K86671899; BRD-K94646939; BRD-K95917977
JQIVWCFXIXDPKG,8,BRD-K02749944; BRD-K14428604; BRD-K20505830; BRD-K27838482; BRD-K35073835; BRD-K82483257; BRD-K88700643; BRD-K89469595
KRKFLLVHIFIBNR,8,BRD-K06146578; BRD-K16255400; BRD-K23440419; BRD-K24848743; BRD-K25718630; BRD-K26395018; BRD-K75136523; BRD-K82504878
ZDHXOKWVDFHFNO,8,BRD-K21327356; BRD-K31896531; BRD-K36566880; BRD-K40894545; BRD-K44719654; BRD-K89325755; BRD-K95485901; BRD-K98418950
FJJBSMMGLKBUIQ,8,BRD-K09059649; BRD-K19549004; BRD-K20381303; BRD-K45090628; BRD-K46498981; BRD-K58154162; BRD-K70899691; BRD-K92897514
SBBAPVWHPDIFCH,8,BRD-K04575404; BRD-K05803357; BRD-K29276696; BRD-K34122000; BRD-K44225498; BRD-K47885451; BRD-K65470727; BRD-K76084102
SADUCKDCBXEUGG,8,BRD-K02548021; BRD-K22307331; BRD-K37822854; BRD-K62768599; BRD-K66566233; BRD-K67029063; BRD-K80831196; BRD-K97636821
RZTDCHBKGWJHSA,8,BRD-K00064929; BRD-K02315366; BRD-K03228992; BRD-K05197946; BRD-K38611276; BRD-K57759884; BRD-K67271639; BRD-K80728817
KSBPLIKBKJINFF,8,BRD-K07245666; BRD-K08939947; BRD-K18428988; BRD-K23836639; BRD-K41031262; BRD-K63058274; BRD-K65368100; BRD-K83272071
ZECMXSZSTQYLBY,8,BRD-K22458526; BRD-K24393110; BRD-K55218950; BRD-K63199400; BRD-K73689413; BRD-K94005961; BRD-K95435237; BRD-K97886487
ZDQGJCPJPDTJMO,8,BRD-K04143779; BRD-K04544693; BRD-K11812419; BRD-K20185935; BRD-K20497425; BRD-K24067917; BRD-K29460044; BRD-K38170103
ZELRDESQNQXQCO,8,BRD-K16010201; BRD-K35334027; BRD-K37856394; BRD-K46171293; BRD-K61359353; BRD-K80832371; BRD-K85101781; BRD-K92807185
AMWULHWHNZGRQW,8,BRD-K00816476; BRD-K15502859; BRD-K35196805; BRD-K42008693; BRD-K53703060; BRD-K59893572; BRD-K61929684; BRD-K98541397
JRGGKERBHXAIAP,8,BRD-K21075720; BRD-K23496480; BRD-K31844452; BRD-K41035516; BRD-K54254994; BRD-K55692246; BRD-K63145939; BRD-K74236049
KPQAGDNSAAOMGS,8,BRD-K04513994; BRD-K07979116; BRD-K34531548; BRD-K66954388; BRD-K68087668; BRD-K74651253; BRD-K94915822; BRD-K95160020
JUDGCNLDIJTAJU,8,BRD-K11631946; BRD-K19085288; BRD-K33953218; BRD-K45318035; BRD-K49298555; BRD-K51181201; BRD-K64266251; BRD-K97576000
ZHYLMLAAZLDJNG,8,BRD-K22643403; BRD-K22719646; BRD-K25096430; BRD-K45355730; BRD-K55597137; BRD-K59247792; BRD-K71921803; BRD-K98607641
ZIFILFAABSOBLR,8,BRD-K11424789; BRD-K15707609; BRD-K28987821; BRD-K39014692; BRD-K47002284; BRD-K48809858; BRD-K53283097; BRD-K64694541
JVHWMDYUDFIPKY,8,BRD-K06809080; BRD-K08266813; BRD-K20597651; BRD-K30066603; BRD-K50558304; BRD-K68657207; BRD-K78025571; BRD-K81131579
KMNKNOWYKUKVAH,8,BRD-K27356753; BRD-K52520268; BRD-K56179613; BRD-K60509482; BRD-K87821938; BRD-K95007662; BRD-K95792127; BRD-K98505253
KOAYSPOFMXWQDS,8,BRD-K00411687; BRD-K25963301; BRD-K27798440; BRD-K55009937; BRD-K61415682; BRD-K67983441; BRD-K86265052; BRD-K88602713
AMMFZKQUXZGGMQ,8,BRD-K00526921; BRD-K42011191; BRD-K44562621; BRD-K59909245; BRD-K63415335; BRD-K82062446; BRD-K89416483; BRD-K92975271
ZJAQJJRCHWWGEL,8,BRD-K02610196; BRD-K15940471; BRD-K26767874; BRD-K40490682; BRD-K52613522; BRD-K61709556; BRD-K70379342; BRD-K71775851
ZKVMCHGVVVSISB,8,BRD-K09779552; BRD-K14602451; BRD-K39068840; BRD-K39562569; BRD-K41350512; BRD-K66803141; BRD-K68246656; BRD-K83082136
ZKMZGYJTUFHVCC,8,BRD-K05726929; BRD-K11081110; BRD-K41571462; BRD-K78467731; BRD-K92810472; BRD-K93140279; BRD-K95244186; BRD-K96160456
SLCLMSLRMDGYCU,8,BRD-K10157835; BRD-K19527338; BRD-K21176869; BRD-K26399271; BRD-K70109334; BRD-K71716722; BRD-K79547691; BRD-K79730625
SLHJHGLJXJFOQY,8,BRD-K00445923; BRD-K08703292; BRD-K10813758; BRD-K16372954; BRD-K68300134; BRD-K85229892; BRD-K86250735; BRD-K88676137
SKMIIEGWSYGYOW,8,BRD-K16257721; BRD-K17554130; BRD-K56904840; BRD-K65395273; BRD-K67780021; BRD-K75703168; BRD-K79997126; BRD-K99055802
AKLLRXAVVXEIMF,8,BRD-K04831789; BRD-K09852122; BRD-K21463062; BRD-K26003427; BRD-K56665985; BRD-K59022317; BRD-K61083743; BRD-K79410674
AJGJMULVCJFZBU,8,BRD-K08432506; BRD-K14509209; BRD-K19742528; BRD-K21047238; BRD-K22500599; BRD-K55681488; BRD-K58719548; BRD-K71732099
ANXFQERLRQGOSV,8,BRD-K29290722; BRD-K37090607; BRD-K48582996; BRD-K69516264; BRD-K72980834; BRD-K86524553; BRD-K88597074; BRD-K95438730
ZKSUBHWMVQQNNI,8,BRD-K01241136; BRD-K38933129; BRD-K42361507; BRD-K42679345; BRD-K68370959; BRD-K69498175; BRD-K75353513; BRD-K78229216
SWUCWXMCDNCWDY,8,BRD-K04284624; BRD-K48656305; BRD-K51169491; BRD-K52476750; BRD-K60343011; BRD-K70744040; BRD-K71964750; BRD-K87886529
SOARVSRWKWCBLL,8,BRD-K02206783; BRD-K26799408; BRD-K34015625; BRD-K38998914; BRD-K39900015; BRD-K59099734; BRD-K72966614; BRD-K86516784
SOBUUYUTYHYENZ,8,BRD-K00278564; BRD-K24161447; BRD-K40959498; BRD-K62051893; BRD-K66204187; BRD-K69672299; BRD-K81080300; BRD-K97492549
SNSIFAOUIDJYAO,8,BRD-K06310280; BRD-K10900122; BRD-K14451397; BRD-K38040305; BRD-K38650960; BRD-K72467884; BRD-K77697841; BRD-K82394273
FBXATGIHHFZDOF,8,BRD-K01774461; BRD-K05304510; BRD-K08406395; BRD-K09693670; BRD-K13110820; BRD-K34335352; BRD-K71216961; BRD-K92632379
FBDVMTHRQHSDLA,8,BRD-K29639729; BRD-K31138070; BRD-K32431994; BRD-K73832524; BRD-K76583861; BRD-K84860580; BRD-K85879095; BRD-K91945291
JTCZGLOUSBJUER,8,BRD-K05733208; BRD-K08373870; BRD-K10449938; BRD-K64649040; BRD-K69586787; BRD-K69705756; BRD-K72694250; BRD-K82328933
SGONDPMGILSHIM,8,BRD-K18294324; BRD-K24523081; BRD-K27742591; BRD-K45092764; BRD-K58536094; BRD-K85886293; BRD-K86312065; BRD-K99447056
SIHGKWCNYKQFFR,8,BRD-K08311783; BRD-K20718732; BRD-K23931216; BRD-K35429092; BRD-K50634134; BRD-K54674054; BRD-K95482240; BRD-K99017327
SYMAGNSCDPNOSH,8,BRD-K09749233; BRD-K14396276; BRD-K26245595; BRD-K51202492; BRD-K60741970; BRD-K61861910; BRD-K73282213; BRD-K92841908
TUUZOQPHVDGSNW,8,BRD-K13667629; BRD-K61045941; BRD-K62993927; BRD-K64544620; BRD-K79116978; BRD-K85779012; BRD-K90679612; BRD-K92924609
ALCDIEWMKTXBKO,8,BRD-K01624114; BRD-K04772033; BRD-K07237640; BRD-K17122162; BRD-K41952303; BRD-K57616212; BRD-K69837023; BRD-K86719628
ANPNCKARMDTJMY,8,BRD-K00967758; BRD-K20182751; BRD-K45230579; BRD-K48923155; BRD-K51579715; BRD-K53833823; BRD-K79090110; BRD-K97633445
ZFRPCBGONKGXGW,8,BRD-K09276254; BRD-K18244645; BRD-K46533463; BRD-K57659231; BRD-K61873274; BRD-K76749891; BRD-K79780092; BRD-K81332205
AJOHYGOUUFRWKL,8,BRD-K06127304; BRD-K10856568; BRD-K27839561; BRD-K40280267; BRD-K57072576; BRD-K61885905; BRD-K66052559; BRD-K79522563
RCIJUMNSSGEJFF,8,BRD-K18048820; BRD-K20479120; BRD-K23211153; BRD-K23905744; BRD-K31752292; BRD-K36906780; BRD-K69218883; BRD-K92232855
RDGNRWNQTDLRBG,8,BRD-K33760911; BRD-K36544054; BRD-K60295429; BRD-K65464642; BRD-K79904333; BRD-K93008833; BRD-K93186184; BRD-K97748753
RCWBPICPBWJXDU,8,BRD-K03331449; BRD-K08806664; BRD-K15654812; BRD-K36736230; BRD-K38434557; BRD-K51927648; BRD-K68594161; BRD-K84062787
UOSMRAYIPQIEAB,8,BRD-K01367715; BRD-K05474024; BRD-K14268329; BRD-K45959036; BRD-K52285987; BRD-K67022703; BRD-K69175109; BRD-K75730049
DJBLUNZOFTWTAE,8,BRD-K08813275; BRD-K23744058; BRD-K46178029; BRD-K61873333; BRD-K71095875; BRD-K86757617; BRD-K89109315; BRD-K90613621
DHPIXDXHWYRYQT,8,BRD-K20877010; BRD-K26461874; BRD-K28752165; BRD-K30706668; BRD-K51849024; BRD-K83694683; BRD-K91665395; BRD-K99469929
IOQJCBWFRPGQBJ,8,BRD-K01691627; BRD-K23731136; BRD-K34799054; BRD-K45714982; BRD-K57638192; BRD-K58925245; BRD-K62561943; BRD-K71397492
MQWQDAVBIBJDRV,8,BRD-K02675466; BRD-K06723172; BRD-K11158154; BRD-K33961995; BRD-K60050469; BRD-K66147676; BRD-K69420053; BRD-K72872827
MRBZRZGKCPBOJB,8,BRD-K17973355; BRD-K18152229; BRD-K40098720; BRD-K41014695; BRD-K56482508; BRD-K59130924; BRD-K78451750; BRD-K88541752
XWLPDPDFVWQKHJ,8,BRD-K11477112; BRD-K63803358; BRD-K66748326; BRD-K67740871; BRD-K74916896; BRD-K81293413; BRD-K84690141; BRD-K97318603
XVNXZMOLFFKQAU,8,BRD-K06261202; BRD-K25540102; BRD-K42185771; BRD-K63410075; BRD-K72651085; BRD-K72842159; BRD-K75331656; BRD-K81510336
MOSVBDAIGOGSPE,8,BRD-K10716948; BRD-K17103381; BRD-K21009787; BRD-K24319052; BRD-K27982554; BRD-K50079182; BRD-K58784778; BRD-K71614913
MOISLORHFJLABX,8,BRD-K03815046; BRD-K09945302; BRD-K28105726; BRD-K68731139; BRD-K71254586; BRD-K80301668; BRD-K92205342; BRD-K98370172
MOMUNQNAFOIKEQ,8,BRD-K00347265; BRD-K06228572; BRD-K25994126; BRD-K35868313; BRD-K39504007; BRD-K80789291; BRD-K83920942; BRD-K97101742
LMAOWKPBCKGOJC,8,BRD-K30065842; BRD-K34311186; BRD-K35617935; BRD-K43206373; BRD-K48863591; BRD-K52416366; BRD-K71607378; BRD-K95922469
XYWPMUCHOREPKK,8,BRD-K12584650; BRD-K13207999; BRD-K35290760; BRD-K56304906; BRD-K59870400; BRD-K60129749; BRD-K65790118; BRD-K75291656
