parent_inchikey,n_brd_ids,brd_ids
NQVHKOMHSOOYQX,16,BRD-K04968881; BRD-K07482874; BRD-K08427390; BRD-K19800225; BRD-K21864149; BRD-K23280067; BRD-K50291875; BRD-K51342021; BRD-K56488838; BRD-K81314458; BRD-K83475223; BRD-K85909950; BRD-K88559334; BRD-K94489270; BRD-K95359959; BRD-K96663576
AXBJPSYRCLUHNL,16,BRD-K18710049; BRD-K21509488; BRD-K39841630; BRD-K42581894; BRD-K46123637; BRD-K51757031; BRD-K53185063; BRD-K57272712; BRD-K67944552; BRD-K71329594; BRD-K77954087; BRD-K83831887; BRD-K84797651; BRD-K87434936; BRD-K98970645; BRD-K99732047
YIAMBQQGWRAZTQ,16,BRD-K12980773; BRD-K14091022; BRD-K25866514; BRD-K33780441; BRD-K39669696; BRD-K41660807; BRD-K46255436; BRD-K47812430; BRD-K49452151; BRD-K58788895; BRD-K68166950; BRD-K69719681; BRD-K72174974; BRD-K84022666; BRD-K95062171; BRD-K95698191
PPQNLGLVWDESKN,16,BRD-K07928515; BRD-K12251642; BRD-K19302998; BRD-K19981693; BRD-K24259871; BRD-K36940835; BRD-K37252182; BRD-K40735917; BRD-K52106083; BRD-K55446881; BRD-K60363992; BRD-K66632266; BRD-K87947740; BRD-K94243450; BRD-K96093221; BRD-K97370549
ISBRQPNQXSURAN,16,BRD-K07558380; BRD-K25469705; BRD-K26077185; BRD-K26622714; BRD-K36150982; BRD-K37510840; BRD-K37623909; BRD-K51186655; BRD-K53934736; BRD-K56977200; BRD-K61437861; BRD-K63025696; BRD-K66618978; BRD-K92079660; BRD-K94761446; BRD-K97112539
IXXIZSABFJAVRH,16,BRD-K06714535; BRD-K07572455; BRD-K07790303; BRD-K08936794; BRD-K12858756; BRD-K17139153; BRD-K24133356; BRD-K32882027; BRD-K36424197; BRD-K41354272; BRD-K58514045; BRD-K63827443; BRD-K69548259; BRD-K79490177; BRD-K97048125; BRD-K99615821
KNZOATPLJIEOET,16,BRD-K10087454; BRD-K16930636; BRD-K18293432; BRD-K23370299; BRD-K28001518; BRD-K28649955; BRD-K28667054; BRD-K31877241; BRD-K41763112; BRD-K54385541; BRD-K64247367; BRD-K69747917; BRD-K73388067; BRD-K74446951; BRD-K81440797; BRD-K84157702
VZQKOZAJNGTVKC,16,BRD-K01022714; BRD-K03886176; BRD-K09587429; BRD-K14599588; BRD-K16717067; BRD-K21997380; BRD-K30812092; BRD-K33805195; BRD-K41322154; BRD-K42091424; BRD-K45421483; BRD-K71870778; BRD-K73442516; BRD-K75065750; BRD-K76706127; BRD-K79213964
PHXITHQOKRDDQC,16,BRD-K15250089; BRD-K22071228; BRD-K27953820; BRD-K30964193; BRD-K43872193; BRD-K43966357; BRD-K48299239; BRD-K64862162; BRD-K67011787; BRD-K83090041; BRD-K83547183; BRD-K87209752; BRD-K88583132; BRD-K90052868; BRD-K90769476; BRD-K95927760
UIBIEJVTTJAUBZ,16,BRD-K15955205; BRD-K19995377; BRD-K20121961; BRD-K45319476; BRD-K46661156; BRD-K51471107; BRD-K51703152; BRD-K51812182; BRD-K55345900; BRD-K60667054; BRD-K62265198; BRD-K74582039; BRD-K81662460; BRD-K88281008; BRD-K93339435; BRD-K96003120
YLLZUOSUTCBCJJ,16,BRD-K09454555; BRD-K14736141; BRD-K19677752; BRD-K26840329; BRD-K38011931; BRD-K40506152; BRD-K43216840; BRD-K47686295; BRD-K67319066; BRD-K71752918; BRD-K77162730; BRD-K78528600; BRD-K78849449; BRD-K91730835; BRD-K92593565; BRD-K94688728
DIIJYNJFSHJSFY,16,BRD-K06935006; BRD-K19011062; BRD-K24106654; BRD-K31060354; BRD-K35743871; BRD-K36471847; BRD-K37014875; BRD-K45850755; BRD-K45929778; BRD-K52225919; BRD-K69649444; BRD-K76243603; BRD-K86786416; BRD-K95779464; BRD-K99307487; BRD-K99628932
LMYACBAJSFEPOG,16,BRD-K04832618; BRD-K24992843; BRD-K25070860; BRD-K27475558; BRD-K38986089; BRD-K39599822; BRD-K40301427; BRD-K41649460; BRD-K51981081; BRD-K57901680; BRD-K64668459; BRD-K73737710; BRD-K76047634; BRD-K82435102; BRD-K84528570; BRD-K95616928
WWAGOAOIMIOBRQ,16,BRD-K00918977; BRD-K03445781; BRD-K13626871; BRD-K23557133; BRD-K24781398; BRD-K25471349; BRD-K34392222; BRD-K41404328; BRD-K52203672; BRD-K56130969; BRD-K65418120; BRD-K66299073; BRD-K70631162; BRD-K73082254; BRD-K82154894; BRD-K94243176
ALLGXHRZPBERLG,16,BRD-K11468724; BRD-K18132838; BRD-K29326878; BRD-K29737933; BRD-K30822915; BRD-K33057338; BRD-K46241566; BRD-K57275439; BRD-K58469266; BRD-K62943397; BRD-K67502058; BRD-K75383594; BRD-K87304811; BRD-K89952884; BRD-K96121225; BRD-K98716460
UELXIDKHDZHDNE,16,BRD-K00868395; BRD-K07448100; BRD-K10422753; BRD-K13064257; BRD-K21741022; BRD-K42618289; BRD-K46477974; BRD-K47788798; BRD-K58446572; BRD-K62702428; BRD-K80427968; BRD-K81438145; BRD-K82637111; BRD-K86925364; BRD-K87790979; BRD-K94274196
OANCONKVZGQSHB,16,BRD-K00179355; BRD-K00188019; BRD-K12744202; BRD-K15233676; BRD-K15328325; BRD-K18415753; BRD-K30126976; BRD-K31329249; BRD-K35090513; BRD-K42303783; BRD-K47163377; BRD-K47396627; BRD-K47586560; BRD-K80622828; BRD-K95419055; BRD-K96309168
ZQNJSJYLLBSSCW,16,BRD-K06884091; BRD-K07039703; BRD-K14078057; BRD-K16173196; BRD-K28918096; BRD-K36466190; BRD-K37459628; BRD-K40471847; BRD-K43014865; BRD-K66536842; BRD-K79131144; BRD-K79260832; BRD-K82161520; BRD-K86728684; BRD-K90646778; BRD-K93971021
